Substructure,Molecules containing fragment,Number of Molecules_with_Fragment,Mean score cluster,Steps,Number of Molecules_with_Fragment List,step min,step count
CC1=[N+]2C(=C(c3cccn3C)c3cccn3[B-]2(F)F)C(c2ccccc2)=C1c1cccnc1,{'CC1=[N+]2C(=C(c3cccn3C)c3cccn3[B-]2(F)F)C(c2ccccc2)=C1c1cccnc1'},1,0.6042753,[270],[2],270,1
CN1C(=O)C2=C(c3ccccc3)[B-](F)(F)c3ccc4ccccc4c3C2=C1c1ccccc1,{'CN1C(=O)C2=C(c3ccccc3)[B-](F)(F)c3ccc4ccccc4c3C2=C1c1ccccc1'},1,0.5205569,[240],[2],240,1
CN1C(=O)C(=C(Br)c2ccc(C3=[O+][B-](F)(F)C(=O)c4ccccc43)cc2)c2c(Br)cccc21,{'CN1C(=O)C(=C(Br)c2ccc(C3=[O+][B-](F)(F)C(=O)c4ccccc43)cc2)c2c(Br)cccc21'},1,0.2457244,[250],[2],250,1
CN(c1ccc(N(c2ccc(C=O)cc2)c2ccc3ccccc3c2)cc1)c1ccccn1,{'CN(c1ccc(N(c2ccc(C=O)cc2)c2ccc3ccccc3c2)cc1)c1ccccn1'},1,0.1087094,[60],[2],60,1
CCCc1ccc2c(c1)C(Cl)=CC2=C1c2c(Br)cc(C(=O)CBr)cc2[B-](F)(F)n2cccc21,{'CCCc1ccc2c(c1)C(Cl)=CC2=C1c2c(Br)cc(C(=O)CBr)cc2[B-](F)(F)n2cccc21'},1,0.0,[250],[2],250,1
CC1CNC(=C2N=[N+]([O-])C(c3ccccc3)=C2C(=O)c2ccccc2)C1=Cc1ccccc1,{'CC1CNC(=C2N=[N+]([O-])C(c3ccccc3)=C2C(=O)c2ccccc2)C1=Cc1ccccc1'},1,0.3158807,[200],[2],200,1
CC1=c2c(-c3ccccc3)cc3c(c2-c2ccccc21)-c1ccccc1C=3c1ccccc1,{'CC1=c2c(-c3ccccc3)cc3c(c2-c2ccccc21)-c1ccccc1C=3c1ccccc1'},1,0.2108603,[350],[2],350,1
CC1=[N+]2C(=C(c3ccc(-c4ccccn4)cc3)c3cccn3[B-]2(F)F)C(c2ccccc2)=C1,{'CC1=[N+]2C(=C(c3ccc(-c4ccccn4)cc3)c3cccn3[B-]2(F)F)C(c2ccccc2)=C1'},1,0.5996879,[360],[2],360,1
COc1cccc(C2=CC=C(c3ccc(OC)c(OC)c3)C(=O)C2=NNc2ccccc2)c1,{'COc1cccc(C2=CC=C(c3ccc(OC)c(OC)c3)C(=O)C2=NNc2ccccc2)c1'},1,0.490919,[320],[2],320,1
CC1=NN(c2ccccc2)C(=O)C1=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1,{'CC1=NN(c2ccccc2)C(=O)C1=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1'},1,0.4559585,[200],[2],200,1
CC1=NC(=NNc2ccc(F)cc2)c2c1c(=Cc1ccco1)cc(-c1ccco1)c2=C(C)O,{'CC1=NC(=NNc2ccc(F)cc2)c2c1c(=Cc1ccco1)cc(-c1ccco1)c2=C(C)O'},1,0.0,[360],[2],360,1
CC1=CCC(C(=O)C2=C3CCC4(C)C(=O)CCC4C3(C)CC(=O)C2=O)C(O)CC(C)=CCC1,{'CC1=CCC(C(=O)C2=C3CCC4(C)C(=O)CCC4C3(C)CC(=O)C2=O)C(O)CC(C)=CCC1'},1,0.0576666,[60],[2],60,1
CC1=CC(=Cc2ccc(-c3ccc4ccccc4c3)cc2)[P-](#[S+])(C=Cc2ccccc2)C=C1,{'CC1=CC(=Cc2ccc(-c3ccc4ccccc4c3)cc2)[P-](#[S+])(C=Cc2ccccc2)C=C1'},1,0.0,[240],[2],240,1
CC1=C2C(=C(c3ccccc3)C(=O)C2C)C(=O)C(=C(c2ccccc2)c2ccccc2)C1=O,{'CC1=C2C(=C(c3ccccc3)C(=O)C2C)C(=O)C(=C(c2ccccc2)c2ccccc2)C1=O'},1,0.3778414,[220],[2],220,1
CC1=C(c2ccccc2)[N+](c2ccccc2)=C2C1=C(c1ccc(Br)[nH]1)c1cccn1[B-]2(F)F,{'CC1=C(c2ccccc2)[N+](c2ccccc2)=C2C1=C(c1ccc(Br)[nH]1)c1cccn1[B-]2(F)F'},1,0.5305655,[290],[2],290,1
CN1CCN(c2ccsc2C(=O)NC(c2cccc(F)c2)c2cccc3ccccc23)CC1,{'CN1CCN(c2ccsc2C(=O)NC(c2cccc(F)c2)c2cccc3ccccc23)CC1'},1,0.0567674,[100],[2],100,1
CN1c2cccc3cccc(c23)C2c3ccccc3N(c3ccccc3)[B-]21c1ccccc1,{'CN1c2cccc3cccc(c23)C2c3ccccc3N(c3ccccc3)[B-]21c1ccccc1'},1,0.1519837,[250],[2],250,1
CNC1=C(Br)C(=O)c2cc3ccccc3cc2C1=C1c2ccccc2C(=O)c2ccccc21,{'CNC1=C(Br)C(=O)c2cc3ccccc3cc2C1=C1c2ccccc2C(=O)c2ccccc21'},1,0.442968,[240],[2],240,1
COC(=O)C1=C(C)Nc2cc(Br)ccc2C12c1[nH]c3ccccc3c1CN2c1ccccc1,{'COC(=O)C1=C(C)Nc2cc(Br)ccc2C12c1[nH]c3ccccc3c1CN2c1ccccc1'},1,0.0531208,[160],[2],160,1
COC(=O)c1c2ccccc2c(Cc2c3ccccc3cc3ccccc23)c2ccccc12,{'COC(=O)c1c2ccccc2c(Cc2c3ccccc3cc3ccccc23)c2ccccc12'},1,0.5139443,[190],[2],190,1
COC1(c2ccc(Br)cc2)C(c2ccc(Br)cc2)=C1c1c2ccccc2cc2ccccc12,{'COC1(c2ccc(Br)cc2)C(c2ccc(Br)cc2)=C1c1c2ccccc2cc2ccccc12'},1,0.4734159,[220],[2],220,1
COc1cc(C2=C3C=CC(Cl)=[N+]3[B-](F)(F)n3cc4ccccc4c32)cc([Si](F)(F)F)c1OC,{'COc1cc(C2=C3C=CC(Cl)=[N+]3[B-](F)(F)n3cc4ccccc4c32)cc([Si](F)(F)F)c1OC'},1,0.5579675,[300],[2],300,1
COc1ccc(-c2oc(=O)c(-c3ccccc3)cc2-c2cccc(OC)c2OC)cc1OC,{'COc1ccc(-c2oc(=O)c(-c3ccccc3)cc2-c2cccc(OC)c2OC)cc1OC'},1,0.2064143,[10],[2],10,1
COc1ccc(C2=C3c4ccccc4C(c4ccco4)=[N+]3[B-](F)(F)n3c2cc(Cl)c3Br)cc1,{'COc1ccc(C2=C3c4ccccc4C(c4ccco4)=[N+]3[B-](F)(F)n3c2cc(Cl)c3Br)cc1'},1,0.5604998,[320],[2],320,1
COc1ccc(C2=C=NC(n3ccccc3=[Se+]c3ccccc3)=C(c3ccccc3)[N-]2)cc1,{'COc1ccc(C2=C=NC(n3ccccc3=[Se+]c3ccccc3)=C(c3ccccc3)[N-]2)cc1'},1,0.1771312,[210],[2],210,1
COc1ccc(C2=CC(=C3C(=O)c4ccccc4C3=O)C(=O)N2N=Nc2ccccc2)cc1,{'COc1ccc(C2=CC(=C3C(=O)c4ccccc4C3=O)C(=O)N2N=Nc2ccccc2)cc1'},1,0.4095917,[240],[2],240,1
COc1ccc(C2=CC(c3ccco3)=C3C2=C(c2ccc[nH]2)O[B-](F)(F)n2cccc23)cc1,{'COc1ccc(C2=CC(c3ccco3)=C3C2=C(c2ccc[nH]2)O[B-](F)(F)n2cccc23)cc1'},1,0.4753433,[330],[2],330,1
COc1ccc(C2=[N+]([O-])C(=Cc3ccccc3)C(c3ccccc3)=C2c2ccccc2)cc1,{'COc1ccc(C2=[N+]([O-])C(=Cc3ccccc3)C(c3ccccc3)=C2c2ccccc2)cc1'},1,0.5593402,[310],[2],310,1
COc1ccc(C2=[N+]3C(=C(c4ccc(Cl)cc4)c4ccccc43)[B-](F)(F)n3cccc32)cc1,{'COc1ccc(C2=[N+]3C(=C(c4ccc(Cl)cc4)c4ccccc43)[B-](F)(F)n3cccc32)cc1'},1,0.4976217,[360],[2],360,1
COc1ccc(C2=[N+]3C(=C(c4ccc(F)cc4)c4cccn4[B-]3(F)F)c3ccccc32)cc1,"{'COc1ccc(C2=C3c4ccccc4C(c4ccc(OC)cc4)=[N+]3[B-](F)(F)n3cccc32)cc1', 'COc1ccc(C2=[N+]3C(=C(c4ccc(F)cc4)c4cccn4[B-]3(F)F)c3ccccc32)cc1'}",2,0.30595895,"[380, 390]","[2, 2]",380,2
COc1ccc(N2C(=O)C3C(c4cccc([N+](=O)[O-])c4)=NN(c4ccccc4)C3C2=O)cc1,{'COc1ccc(N2C(=O)C3C(c4cccc([N+](=O)[O-])c4)=NN(c4ccccc4)C3C2=O)cc1'},1,0.276298,[90],[2],90,1
COc1ccc(OC(=O)Nc2cc(C(=O)Nc3ccc(C(F)(F)F)cc3)ccc2OC)cc1,{'COc1ccc(OC(=O)Nc2cc(C(=O)Nc3ccc(C(F)(F)F)cc3)ccc2OC)cc1'},1,0.0077475,[40],[2],40,1
F[B-]1(F)C(c2ccccc2)=[N+]2C(=C(c3ccc[nH]3)c3cc(Cl)c(Cl)n31)c1cccn1[B-]2(F)F,{'F[B-]1(F)C(c2ccccc2)=[N+]2C(=C(c3ccc[nH]3)c3cc(Cl)c(Cl)n31)c1cccn1[B-]2(F)F'},1,0.5701938,[340],[2],340,1
F[B-]1(F)C2=C(C=C[N+]2=C2c3cccn3[B-](F)(F)n3cccc32)C(F)(F)C(F)(F)c2cccn21,{'F[B-]1(F)C2=C(C=C[N+]2=C2c3cccn3[B-](F)(F)n3cccc32)C(F)(F)C(F)(F)c2cccn21'},1,0.4937612,[200],[2],200,1
F[B-]1(F)C2=C(Cl)C(c3ccccn3)=CC2=C(c2ccc(-c3ccccc3)cc2)c2cccn21,"{'F[B-]1(F)C2=C(Cl)C(c3ccccn3)=CC2=C(c2ccc(-c3ccccc3Cl)cc2)c2cccn21', 'F[B-]1(F)C2=C(Cl)C(c3ccccn3)=CC2=C(c2ccc(-c3ccccc3)cc2)c2cccn21'}",2,0.55820355,"[340, 280]","[2, 2]",280,2
NC1=C(c2ccccc2)S(=O)(=O)N(c2ccccc2)C(c2cccnc2)=C1N1CCOCC1,{'NC1=C(c2ccccc2)S(=O)(=O)N(c2ccccc2)C(c2cccnc2)=C1N1CCOCC1'},1,0.2814777,[110],[2],110,1
O=C1C(=C2CCCN2)C(=O)N(c2ccccc2)C(=NC2CCCCC2)N1Cc1ccccc1,{'O=C1C(=C2CCCN2)C(=O)N(c2ccccc2)C(=NC2CCCCC2)N1Cc1ccccc1'},1,0.0265678,[190],[2],190,1
O=C(c1ccccc1Cl)C1OC(=Nc2ccccc2)c2ccccc2N1Cc1ccccc1,{'O=C(c1ccccc1Cl)C1OC(=Nc2ccccc2)c2ccccc2N1Cc1ccccc1'},1,0.0946745,[90],[2],90,1
O=C(Oc1ccccc1)C(=C=C1C=Nc2ccccc2N1c1ccccc1)c1ccccc1,{'O=C(Oc1ccccc1)C(=C=C1C=Nc2ccccc2N1c1ccccc1)c1ccccc1'},1,0.0,[150],[2],150,1
O=C(Nc1ccccc1)c1nc2c3ccccc3ccc2n(-c2ccccc2[N+](=O)[O-])c1=O,{'O=C(Nc1ccccc1)c1nc2c3ccccc3ccc2n(-c2ccccc2[N+](=O)[O-])c1=O'},1,0.2396431,[180],[2],180,1
O=C(NC1CC(c2ccccc2)OC1c1ccc2c(c1)OCO2)c1ccc2ccccc2c1,{'O=C(NC1CC(c2ccccc2)OC1c1ccc2c(c1)OCO2)c1ccc2ccccc2c1'},1,0.0326192,[40],[2],40,1
Nc1c(C(=O)OCc2ccccc2)c(-c2ccccc2)c(-c2ccccc2)c2ccccc12,{'Nc1c(C(=O)OCc2ccccc2)c(-c2ccccc2)c(-c2ccccc2)c2ccccc12'},1,0.1351086,[120],[2],120,1
Fc1cccc(C2=CC(c3ccccc3)=[N+]3C2=C(c2ccccc2)c2cccn2[B-]3(F)F)c1,{'Fc1cccc(C2=CC(c3ccccc3)=[N+]3C2=C(c2ccccc2)c2cccn2[B-]3(F)F)c1'},1,0.0,[400],[2],400,1
F[B-]1(F)n2cccc2C(=C2c3ccccc3-c3ccc(-c4ccccc4)cc32)c2cccn21,{'F[B-]1(F)n2cccc2C(=C2c3ccccc3-c3ccc(-c4ccccc4)cc32)c2cccn21'},1,0.5529904,[390],[2],390,1
Fc1cc(C2=[N+]3C(=C(c4ccccc4)c4cccn4[B-]3(F)F)C(c3ccccc3)=C2)ccn1,{'Fc1cc(C2=[N+]3C(=C(c4ccccc4)c4cccn4[B-]3(F)F)C(c3ccccc3)=C2)ccn1'},1,0.6078772,[370],[2],370,1
Fc1c(F)c(F)c(C2=C(c3ccccc3)C2=C(c2ccccc2)c2ccccc2)c(F)c1F,{'Fc1c(F)c(F)c(C2=C(c3ccccc3)C2=C(c2ccccc2)c2ccccc2)c(F)c1F'},1,0.3881993,[190],[2],190,1
Fc1c(-c2ccccc2)c2c(=C3c4ccccc4-c4ccccc43)c3c(cccc13)C=CC=2,{'Fc1c(-c2ccccc2)c2c(=C3c4ccccc4-c4ccccc43)c3c(cccc13)C=CC=2'},1,0.3669237,[350],[2],350,1
F[B-]1(F)n2cccc2C(c2ccccc2)=C2C(c3ccccc3)=C(c3ccccc3)C(Cl)=[N+]21,"{'F[B-]1(F)n2cccc2C(c2ccc(Br)cc2)=C2C(c3ccccc3)=C(c3ccccc3)C(Cl)=[N+]21', 'F[B-]1(F)n2cccc2C(c2ccccc2)=C2C(c3ccccc3)=C(c3ccccc3)C(Cl)=[N+]21', 'CC1=[N+]2C(=C(c3ccccc3)c3cccn3[B-]2(F)F)C(c2ccccc2)=C1c1ccccc1'}",3,0.1519789,"[290, 280]","[2, 3]",280,2
F[B-]1(F)n2cccc2C(c2ccc(N(c3ccccc3)c3ccccc3)cc2)=C2C=CC=[N+]21,{'F[B-]1(F)n2cccc2C(c2ccc(N(c3ccccc3)c3ccccc3)cc2)=C2C=CC=[N+]21'},1,0.5451603,[170],[2],170,1
F[B-]1(F)n2cccc2C(c2ccc(Cl)cc2)=C2C(c3ccccc3)=CC(c3ccccc3)=[N+]21,{'F[B-]1(F)n2cccc2C(c2ccc(Cl)cc2)=C2C(c3ccccc3)=CC(c3ccccc3)=[N+]21'},1,0.6153635,[380],[2],380,1
O=C1C(=C2c3ccccc3-c3ccccc32)C(c2ccccc2)=C2c3ccccc3C=CN12,{'O=C1C(=C2c3ccccc3-c3ccccc32)C(c2ccccc2)=C2c3ccccc3C=CN12'},1,0.4992708,[370],[2],370,1
O=C1C(=CNc2ccc(Cl)cc2)C(=O)N(c2ccccc2)C1=Cc1cccc2ccccc12,{'O=C1C(=CNc2ccc(Cl)cc2)C(=O)N(c2ccccc2)C1=Cc1cccc2ccccc12'},1,0.2703366,[200],[2],200,1
O=C1C(=Cc2ccccc2)C(c2ccccc2)=C2C1=C(c1ccc(Br)cc1)c1ccccc12,{'O=C1C(=Cc2ccccc2)C(c2ccccc2)=C2C1=C(c1ccc(Br)cc1)c1ccccc12'},1,0.2806657,[330],[2],330,1
O=C1C(=Cc2ccccc2Br)c2ccc3cccc(Br)c3c2N1c1cccc2cccnc12,{'O=C1C(=Cc2ccccc2Br)c2ccc3cccc(Br)c3c2N1c1cccc2cccnc12'},1,0.3151371,[120],[2],120,1
O=C1C(=O)N(c2ccccc2)C(=Cc2ccc(-c3ccccc3)c(O)n2)N1c1ccccc1,{'O=C1C(=O)N(c2ccccc2)C(=Cc2ccc(-c3ccccc3)c(O)n2)N1c1ccccc1'},1,0.147055,[170],[2],170,1
O=C1C(Cl)=C(c2ccccc2)c2c1c1ccccc1c1c3ccccc3c3ccccc3c21,{'O=C1C(Cl)=C(c2ccccc2)c2c1c1ccccc1c1c3ccccc3c3ccccc3c21'},1,0.4080093,[230],[2],230,1
O=C1C(c2ccccc2)=C(c2cccc(Br)c2)C(=Nc2ccc(Br)cc2)N1c1ccccc1,{'O=C1C(c2ccccc2)=C(c2cccc(Br)c2)C(=Nc2ccc(Br)cc2)N1c1ccccc1'},1,0.3376118,[190],[2],190,1
O=C1C(c2ccccc2)=C2C(=Cc3ccccc3F)C=CC2=C1c1cccc2ccccc12,{'O=C1C(c2ccccc2)=C2C(=Cc3ccccc3F)C=CC2=C1c1cccc2ccccc12'},1,0.4112124,[300],[2],300,1
O=C1C2=C(C(=O)c3ccccc31)N(c1ccccc1)C(=Cc1ccccc1)c1ccccc12,{'O=C1C2=C(C(=O)c3ccccc31)N(c1ccccc1)C(=Cc1ccccc1)c1ccccc12'},1,0.355743,[170],[2],170,1
O=C1C2=C(c3c(F)cccc31)c1c(n(-c3ccccc3)c(=O)c3ccccc13)C(F)(F)C2=O,{'O=C1C2=C(c3c(F)cccc31)c1c(n(-c3ccccc3)c(=O)c3ccccc13)C(F)(F)C2=O'},1,0.4351171,[240],[2],240,1
O=C1C2=C(c3ccccc3)C(Cl)=C(c3ccccc3)C2=C(c2ccccc2)c2ccccc21,{'O=C1C2=C(c3ccccc3)C(Cl)=C(c3ccccc3)C2=C(c2ccccc2)c2ccccc21'},1,0.3952861,[270],[2],270,1
O=C1C=C(c2ccc([N+](=O)[O-])cc2)c2nn3c(-c4ccccc4)nc(-c4ccccc4)c3n21,{'O=C1C=C(c2ccc([N+](=O)[O-])cc2)c2nn3c(-c4ccccc4)nc(-c4ccccc4)c3n21'},1,0.3490728,[130],[2],130,1
